"","workorderid","date","description","address","details","address1"
"1022","1379860","9/28/2024","WATER MAIN BREAK","7800 EAST BATTLE GROVE RD","yes","7800 EAST BATTLE GROVE RD, baltimore"
"1023","1379871","9/29/2024","WATER MAIN BREAK","3100 NIEMAN AVE","yes","3100 NIEMAN AVE, baltimore"
"1024","1379882","9/29/2024","WATER MAIN BREAK","2800 ESSEX RD","yes","2800 ESSEX RD, baltimore"
"1025","1380005","9/30/2024","WATER JOINT LEAK","100 SOUTH WASHINGTON ST","yes","100 SOUTH WASHINGTON ST, baltimore"
"1026","1380038","9/30/2024","WATER MAIN BREAK","4618 RASPE AVE","yes","4618 RASPE AVE, baltimore"
"1027","1380126","9/30/2024","WATER MAIN BREAK","3100 EAST BIDDLE ST","yes","3100 EAST BIDDLE ST, baltimore"
"1028","1380147","9/30/2024","WATER MAIN BREAK","508 NORTH ROSE ST","yes","508 NORTH ROSE ST, baltimore"
"1029","1380347","10/1/2024","WATER MAIN BREAK","2236 WEST SARATOGA ST","yes","2236 WEST SARATOGA ST, baltimore"
"1030","1380477","10/2/2024","WATER MAIN BREAK","938 BENNETT PL","yes","938 BENNETT PL, baltimore"
"1031","1380493","10/2/2024","WATER JOINT LEAK","5 DOE HILL CT","yes","5 DOE HILL CT, baltimore"
"1032","1380669","10/3/2024","WATER JOINT LEAK","4419 LINKWOOD RD","yes","4419 LINKWOOD RD, baltimore"
"1033","1381101","10/3/2024","WATER JOINT LEAK","3030 NIEMAN AVE","yes","3030 NIEMAN AVE, baltimore"
"1034","1381182","10/4/2024","WATER MAIN BREAK","1224 DELLWOOD AVE","yes","1224 DELLWOOD AVE, baltimore"
"1035","1381207","10/4/2024","WATER MAIN BREAK","1227 DELLWOOD AVE","yes","1227 DELLWOOD AVE, baltimore"
"1036","1381212","10/4/2024","WATER MAIN BREAK","3020 NIEMAN AVE","yes","3020 NIEMAN AVE, baltimore"
"1037","1381357","10/4/2024","WATER MAIN BREAK","5600 WHITBY RD","yes","5600 WHITBY RD, baltimore"
"1038","1381362","10/4/2024","WATER MAIN BREAK","1256 GREYSTONE RD","yes","1256 GREYSTONE RD, baltimore"
"1039","1381364","10/4/2024","WATER JOINT LEAK","1624 CHARMUTH RD","yes","1624 CHARMUTH RD, baltimore"
"1040","1381378","10/4/2024","WATER MAIN BREAK","1256 GREYSTONE RD","yes","1256 GREYSTONE RD, baltimore"
"1041","1381416","10/4/2024","WATER MAIN BREAK","1622 TREBOR CT","yes","1622 TREBOR CT, baltimore"
"1042","1381450","10/5/2024","WATER MAIN BREAK","505 NORTH LINWOOD AVE","yes","505 NORTH LINWOOD AVE, baltimore"
"1043","1381504","10/5/2024","WATER MAIN BREAK","1258 GREYSTONE RD","yes","1258 GREYSTONE RD, baltimore"
"1044","1381524","10/6/2024","WATER MAIN BREAK","1256 CIRCLE DR","yes","1256 CIRCLE DR, baltimore"
"1045","1381558","10/7/2024","WATER MAIN BREAK","5505 ANTHONY AVE","yes","5505 ANTHONY AVE, baltimore"
"1046","1381602","10/7/2024","WATER MAIN BREAK","2907 TANEY RD","yes","2907 TANEY RD, baltimore"
"1047","1381616","10/7/2024","WATER MAIN BREAK","403 CHURCH LN","yes","403 CHURCH LN, baltimore"
"1048","1381686","10/7/2024","WATER MAIN BREAK","1210 ROBIN HOOD CIR","yes","1210 ROBIN HOOD CIR, baltimore"
"1049","1381831","10/7/2024","WATER MAIN BREAK","4 EASTSHIP RD","yes","4 EASTSHIP RD, baltimore"
"1050","1381837","10/7/2024","WATER MAIN BREAK","2927 DELAWARE AVE","yes","2927 DELAWARE AVE, baltimore"
"1051","1381859","10/8/2024","WATER JOINT LEAK","620 NORTH CAROLINE ST","yes","620 NORTH CAROLINE ST, baltimore"
"1052","1381861","10/8/2024","WATER MAIN BREAK","4416 EASTWAY","yes","4416 EASTWAY, baltimore"
"1053","1381965","10/8/2024","WATER MAIN BREAK","4816 BUCKS SCHOOLHOUSE RD","yes","4816 BUCKS SCHOOLHOUSE RD, baltimore"
"1054","1381972","10/8/2024","WATER MAIN BREAK","2229 PHILLIPS RD","yes","2229 PHILLIPS RD, baltimore"
"1055","1382008","10/8/2024","WATER MAIN BREAK","7926 SHIRLEY AVE","yes","7926 SHIRLEY AVE, baltimore"
"1056","1382067","10/8/2024","WATER MAIN BREAK","101 SOUTH WASHINGTON ST","yes","101 SOUTH WASHINGTON ST, baltimore"
"1057","1382146","10/9/2024","WATER MAIN BREAK","4 SOUTH EXETER ST","yes","4 SOUTH EXETER ST, baltimore"
"1058","1382253","10/9/2024","WATER MAIN BREAK","402 BACK RIVER NECK RD","yes","402 BACK RIVER NECK RD, baltimore"
"1059","1382542","10/10/2024","WATER MAIN BREAK","3545 5TH ST","yes","3545 5TH ST, baltimore"
"1060","1382674","10/10/2024","WATER MAIN BREAK","1210 RIDERVALE RD","yes","1210 RIDERVALE RD, baltimore"
"1061","1382680","10/11/2024","WATER MAIN BREAK","1302 CHESAPEAKE AVE","yes","1302 CHESAPEAKE AVE, baltimore"
"1062","1382737","10/11/2024","WATER MAIN BREAK","2911 VULCAN RD","yes","2911 VULCAN RD, baltimore"
"1063","1382877","10/11/2024","WATER MAIN BREAK","1714 RAMSAY ST","yes","1714 RAMSAY ST, baltimore"
"1064","1382888","10/12/2024","WATER MAIN BREAK","101 ORVILLE RD","yes","101 ORVILLE RD, baltimore"
"1065","1382894","10/12/2024","WATER MAIN BREAK","7809 DEBOY AVE","yes","7809 DEBOY AVE, baltimore"
"1066","1382905","10/12/2024","WATER MAIN BREAK","45 ROBIN RIDGE CT","yes","45 ROBIN RIDGE CT, baltimore"
"1067","1382935","10/13/2024","WATER MAIN BREAK","7027 MINNOW BRANCH RD","yes","7027 MINNOW BRANCH RD, baltimore"
"1068","1382965","10/13/2024","WATER MAIN BREAK","3024 DUNGLOW RD","yes","3024 DUNGLOW RD, baltimore"
"1069","1383003","10/14/2024","WATER MAIN BREAK","2854 RAYNER AVE","yes","2854 RAYNER AVE, baltimore"
"1070","1383075","10/15/2024","WATER MAIN BREAK","3 KIRK HILL CT","yes","3 KIRK HILL CT, baltimore"
"1071","1383218","10/15/2024","WATER MAIN BREAK","1503 SHERBROOK RD","yes","1503 SHERBROOK RD, baltimore"
"1072","1383282","10/16/2024","WATER JOINT LEAK","5 MONROE FIELD CT","yes","5 MONROE FIELD CT, baltimore"
"1073","1383394","10/16/2024","WATER JOINT LEAK","3809 TERKA CIR","yes","3809 TERKA CIR, baltimore"
"1074","1383477","10/16/2024","WATER MAIN BREAK","1527 HOLBROOK ST","yes","1527 HOLBROOK ST, baltimore"
"1075","1383501","10/16/2024","WATER MAIN BREAK","1754 BURNHAM RD","yes","1754 BURNHAM RD, baltimore"
"1076","1383677","10/17/2024","WATER MAIN BREAK","310 NORTH FULTON AVE","yes","310 NORTH FULTON AVE, baltimore"
"1077","1383733","10/17/2024","WATER MAIN BREAK","1113 PELHAM WOOD RD","yes","1113 PELHAM WOOD RD, baltimore"
"1078","1384081","10/19/2024","WATER MAIN BREAK","3930 DUVALL AVE","yes","3930 DUVALL AVE, baltimore"
"1079","1384083","10/19/2024","WATER MAIN BREAK","3 MILL POOL CT","yes","3 MILL POOL CT, baltimore"
"1080","1384096","10/19/2024","WATER MAIN BREAK","14 LITTLE BROOK CT","yes","14 LITTLE BROOK CT, baltimore"
"1081","1384110","10/20/2024","WATER MAIN BREAK","4700 FALLS RD","yes","4700 FALLS RD, baltimore"
"1082","1384134","10/20/2024","WATER MAIN BREAK","729 BROOKWOOD RD","yes","729 BROOKWOOD RD, baltimore"
"1083","1384155","10/21/2024","WATER MAIN BREAK","2009 RUSSELL AVE","yes","2009 RUSSELL AVE, baltimore"
"1084","1384199","10/21/2024","WATER MAIN BREAK","260 WEST DICKMAN ST","yes","260 WEST DICKMAN ST, baltimore"
"1085","1384286","10/21/2024","WATER JOINT LEAK","2040 EAST 32ND ST","yes","2040 EAST 32ND ST, baltimore"
"1086","1384403","10/21/2024","WATER MAIN BREAK","3010 DUNMORE RD","yes","3010 DUNMORE RD, baltimore"
"1087","1384448","10/22/2024","WATER JOINT LEAK","2040 EAST 32ND ST","yes","2040 EAST 32ND ST, baltimore"
"1088","1384484","10/22/2024","WATER MAIN BREAK","2009 RUSSELL AVE","yes","2009 RUSSELL AVE, baltimore"
"1089","1384538","10/22/2024","WATER JOINT LEAK","1957 BELL AVE","yes","1957 BELL AVE, baltimore"
"1090","1384720","10/23/2024","WATER MAIN BREAK","1901 HALETHORPE FARMS RD","yes","1901 HALETHORPE FARMS RD, baltimore"
"1091","1384806","10/23/2024","WATER MAIN BREAK","158 NORTH LINWOOD AVE","yes","158 NORTH LINWOOD AVE, baltimore"
"1092","1384812","10/23/2024","WATER MAIN BREAK","2913 EAST STRATHMORE AVE","yes","2913 EAST STRATHMORE AVE, baltimore"
"1093","1384843","10/23/2024","WATER MAIN BREAK","3 WHITFIELD RD","yes","3 WHITFIELD RD, baltimore"
"1094","1384852","10/23/2024","WATER JOINT LEAK","5721 GREENSPRING AVE","yes","5721 GREENSPRING AVE, baltimore"
"1095","1384964","10/23/2024","WATER JOINT LEAK","702 PORTLAND ST","yes","702 PORTLAND ST, baltimore"
"1096","1384980","10/24/2024","WATER MAIN BREAK","1915 LINCOLN AVE","yes","1915 LINCOLN AVE, baltimore"
"1097","1384981","10/24/2024","WATER MAIN BREAK","1103 ROLAND HEIGHTS AVE","yes","1103 ROLAND HEIGHTS AVE, baltimore"
"1098","1384987","10/24/2024","WATER MAIN BREAK","1959 BELL AVE","yes","1959 BELL AVE, baltimore"
"1099","1385011","10/24/2024","WATER MAIN BREAK","3922 CARTHAGE RD","yes","3922 CARTHAGE RD, baltimore"
"1100","1385036","10/24/2024","WATER MAIN BREAK","4103 HANWELL RD","yes","4103 HANWELL RD, baltimore"
"1101","1385166","10/24/2024","WATER JOINT LEAK","1800 ROLAND AVE","yes","1800 ROLAND AVE, baltimore"
"1102","1385632","10/25/2024","WATER MAIN BREAK","3 KIRK HILL CT","yes","3 KIRK HILL CT, baltimore"
"1103","1385641","10/26/2024","WATER MAIN BREAK","248 COLDBROOK RD","yes","248 COLDBROOK RD, baltimore"
"1104","1385673","10/26/2024","WATER MAIN BREAK","702 PORTLAND ST","yes","702 PORTLAND ST, baltimore"
"1105","1385707","10/27/2024","WATER MAIN BREAK","7615 FITCH LN","yes","7615 FITCH LN, baltimore"
"1106","1385728","10/27/2024","WATER MAIN BREAK","3405 FIELDING RD","yes","3405 FIELDING RD, baltimore"
"1107","1385732","10/27/2024","WATER MAIN BREAK","6505 REDGATE CIR","yes","6505 REDGATE CIR, baltimore"
"1108","1385764","10/28/2024","WATER MAIN BREAK","4923 ALHAMBRA AVE","yes","4923 ALHAMBRA AVE, baltimore"
"1109","1385809","10/28/2024","WATER MAIN BREAK","3 KIRK HILL CT","yes","3 KIRK HILL CT, baltimore"
"1110","1385870","10/28/2024","WATER MAIN BREAK","6 SMITH LN","yes","6 SMITH LN, baltimore"
"1111","1385924","10/29/2024","WATER JOINT LEAK","16 WHITFIELD RD","yes","16 WHITFIELD RD, baltimore"
"1112","1385957","10/29/2024","WATER MAIN BREAK","6800 DOGWOOD RD","yes","6800 DOGWOOD RD, baltimore"
"1113","1386112","10/29/2024","WATER MAIN BREAK","438 EAST BIDDLE ST","yes","438 EAST BIDDLE ST, baltimore"
"1114","1386166","10/29/2024","WATER JOINT LEAK","438 EAST BIDDLE ST","yes","438 EAST BIDDLE ST, baltimore"
"1115","1386924","10/30/2024","WATER MAIN BREAK","2313 NORTH CALVERT ST","yes","2313 NORTH CALVERT ST, baltimore"
"1116","1387358","10/30/2024","WATER MAIN BREAK","900 NORTH DUKELAND ST","yes","900 NORTH DUKELAND ST, baltimore"
"1117","1387464","10/30/2024","WATER MAIN BREAK","2123 WHISTLER AVE","yes","2123 WHISTLER AVE, baltimore"
"1118","1387478","10/31/2024","WATER MAIN BREAK","8 LOVELOCK CT","yes","8 LOVELOCK CT, baltimore"
"1119","1387614","10/31/2024","WATER MAIN BREAK","2331 OLD COURT RD","yes","2331 OLD COURT RD, baltimore"
"1120","1387658","10/31/2024","WATER JOINT LEAK","3813 TERKA CIR","yes","3813 TERKA CIR, baltimore"
"1121","1388067","11/1/2024","WATER JOINT LEAK","401 SUDBROOK LN","yes","401 SUDBROOK LN, baltimore"
"1122","1388230","11/1/2024","WATER MAIN BREAK","4818 GREENSPRING AVE","yes","4818 GREENSPRING AVE, baltimore"
"1123","1388233","11/1/2024","WATER MAIN BREAK","918 SOUTH CONKLING ST","yes","918 SOUTH CONKLING ST, baltimore"
"1124","1388264","11/2/2024","WATER MAIN BREAK","3813 TERKA CIR","yes","3813 TERKA CIR, baltimore"
"1125","1388266","11/2/2024","WATER MAIN BREAK","2025 NORTHEAST AVE","yes","2025 NORTHEAST AVE, baltimore"
"1126","1388271","11/2/2024","WATER MAIN BREAK","3916 SHENTON RD","yes","3916 SHENTON RD, baltimore"
"1127","1388304","11/3/2024","WATER MAIN BREAK","405 NORTH EDGEWOOD ST","yes","405 NORTH EDGEWOOD ST, baltimore"
"1128","1388573","11/5/2024","WATER JOINT LEAK","5112 OVERDALE AVE","yes","5112 OVERDALE AVE, baltimore"
"1129","1388616","11/5/2024","WATER MAIN BREAK","4601 NEWGATE AVE","yes","4601 NEWGATE AVE, baltimore"
"1130","1388631","11/6/2024","WATER MAIN BREAK","1341 POPLAR AVE","yes","1341 POPLAR AVE, baltimore"
"1131","1388760","11/6/2024","WATER MAIN BREAK","3547 NEWLAND RD","yes","3547 NEWLAND RD, baltimore"
"1132","1388791","11/6/2024","WATER MAIN BREAK","5 ALDER DR","yes","5 ALDER DR, baltimore"
"1133","1388849","11/6/2024","WATER MAIN BREAK","223 EAST FORT AVE","yes","223 EAST FORT AVE, baltimore"
"1134","1388860","11/6/2024","WATER MAIN BREAK","1 LYDIA CT","yes","1 LYDIA CT, baltimore"
"1135","1388884","11/7/2024","WATER MAIN BREAK","19 PARKWIND CT","yes","19 PARKWIND CT, baltimore"
"1136","1388898","11/7/2024","WATER MAIN BREAK","2618 WILLOW AVE","yes","2618 WILLOW AVE, baltimore"
"1137","1388899","11/7/2024","WATER MAIN BREAK","5633 CARTER AVE","yes","5633 CARTER AVE, baltimore"
"1138","1388941","11/7/2024","WATER MAIN BREAK","6022 PINEHURST RD","yes","6022 PINEHURST RD, baltimore"
"1139","1388956","11/7/2024","WATER MAIN BREAK","203 EASTRIDGE GRTH","yes","203 EASTRIDGE GRTH, baltimore"
"1140","1388960","11/7/2024","WATER MAIN BREAK","10841 SANDRINGHAM RD","yes","10841 SANDRINGHAM RD, baltimore"
"1141","1388964","11/7/2024","WATER MAIN BREAK","1713 ROLAND AVE","yes","1713 ROLAND AVE, baltimore"
"1142","1388987","11/7/2024","WATER MAIN BREAK","1725 LYNNCREST RD","yes","1725 LYNNCREST RD, baltimore"
"1143","1389096","11/7/2024","WATER MAIN BREAK","1116 RUTLAND AVE","yes","1116 RUTLAND AVE, baltimore"
"1144","1389106","11/7/2024","WATER MAIN BREAK","3929 BAYVILLE RD","yes","3929 BAYVILLE RD, baltimore"
"1145","1389159","11/8/2024","WATER MAIN BREAK","4509 EAST MONUMENT ST","yes","4509 EAST MONUMENT ST, baltimore"
"1146","1389168","11/8/2024","WATER MAIN BREAK","400 SOUTH CHAPELGATE LA","yes","400 SOUTH CHAPELGATE LA, baltimore"
"1147","1389213","11/8/2024","WATER MAIN BREAK","7200 EASTERN AVE","yes","7200 EASTERN AVE, baltimore"
"1148","1389299","11/8/2024","WATER MAIN BREAK","154 WINTERS LN","yes","154 WINTERS LN, baltimore"
"1149","1389302","11/8/2024","WATER MAIN BREAK","4426 FINDLAY RD","yes","4426 FINDLAY RD, baltimore"
"1150","1389344","11/9/2024","WATER MAIN BREAK","1404 CHARMUTH RD","yes","1404 CHARMUTH RD, baltimore"
"1151","1389397","11/11/2024","WATER MAIN BREAK","5801 ARIZONA AVE","yes","5801 ARIZONA AVE, baltimore"
"1152","1389407","11/11/2024","WATER MAIN BREAK","6014 MARQUETTE RD","yes","6014 MARQUETTE RD, baltimore"
"1153","1389446","11/11/2024","WATER JOINT LEAK","2143 HARFORD RD","yes","2143 HARFORD RD, baltimore"
"1154","1389469","11/12/2024","WATER MAIN BREAK","6311 WALTHER AVE","yes","6311 WALTHER AVE, baltimore"
"1155","1389790","11/12/2024","WATER MAIN BREAK","2003 HARMAN AVE","yes","2003 HARMAN AVE, baltimore"
"1156","1389792","11/12/2024","WATER MAIN BREAK","5200 FREDCREST RD","yes","5200 FREDCREST RD, baltimore"
"1157","1389962","11/13/2024","WATER MAIN BREAK","4743 IVANHOE AVE","yes","4743 IVANHOE AVE, baltimore"
"1158","1389984","11/13/2024","WATER MAIN BREAK","240 NORTH CALVERTON RD","yes","240 NORTH CALVERTON RD, baltimore"
"1159","1390036","11/13/2024","WATER MAIN BREAK","21 LOCKETT CT","yes","21 LOCKETT CT, baltimore"
"1160","1390253","11/14/2024","WATER MAIN BREAK","4715 EDMONDSON AVE","yes","4715 EDMONDSON AVE, baltimore"
"1161","1390318","11/14/2024","WATER MAIN BREAK","239 SOUTH DUNCAN ST","yes","239 SOUTH DUNCAN ST, baltimore"
"1162","1390347","11/14/2024","WATER MAIN BREAK","1725 ENSOR ST","yes","1725 ENSOR ST, baltimore"
"1163","1390371","11/14/2024","WATER MAIN BREAK","1600 NORMAL AVE BALTIMORE","yes","1600 NORMAL AVE BALTIMORE, baltimore"
"1164","1390452","11/15/2024","WATER MAIN BREAK","601 EAST PRATT ST","yes","601 EAST PRATT ST, baltimore"
"1165","1390575","11/15/2024","WATER MAIN BREAK","3023 FENDALL RD","yes","3023 FENDALL RD, baltimore"
"1166","1390600","11/15/2024","WATER MAIN BREAK","21 LOCKETT CT","yes","21 LOCKETT CT, baltimore"
"1167","1390683","11/15/2024","WATER MAIN BREAK","4713 EDMONDSON AVE","yes","4713 EDMONDSON AVE, baltimore"
"1168","1390730","11/16/2024","WATER MAIN BREAK","6107 TRAMORE RD","yes","6107 TRAMORE RD, baltimore"
"1169","1390736","11/16/2024","WATER MAIN BREAK","2143 HARFORD RD","yes","2143 HARFORD RD, baltimore"
"1170","1390777","11/17/2024","WATER MAIN BREAK","63 ARVERNE CT","yes","63 ARVERNE CT, baltimore"
"1171","1390779","11/17/2024","WATER MAIN BREAK","9406 TULSEMERE RD","yes","9406 TULSEMERE RD, baltimore"
"1172","1390792","11/17/2024","WATER MAIN BREAK","1800 FREDERICK RD","yes","1800 FREDERICK RD, baltimore"
"1173","1390938","11/18/2024","WATER JOINT LEAK","1500 WEST LANVALE ST","yes","1500 WEST LANVALE ST, baltimore"
"1174","1390948","11/18/2024","WATER MAIN BREAK","260 CEDARMERE CIR","yes","260 CEDARMERE CIR, baltimore"
"1175","1390986","11/18/2024","WATER MAIN BREAK","4733 WESTLAND BLVD","yes","4733 WESTLAND BLVD, baltimore"
"1176","1391042","11/18/2024","WATER MAIN BREAK","2340 EUTAW PL","yes","2340 EUTAW PL, baltimore"
"1177","1391084","11/18/2024","WATER MAIN BREAK","409 NORTH PATTERSON PARK AVE","yes","409 NORTH PATTERSON PARK AVE, baltimore"
"1178","1391112","11/18/2024","WATER JOINT LEAK","2020 HARFORD RD","yes","2020 HARFORD RD, baltimore"
"1179","1391115","11/18/2024","WATER MAIN BREAK","1302 MARGARETTE AVE","yes","1302 MARGARETTE AVE, baltimore"
"1180","1391121","11/19/2024","WATER MAIN BREAK","2008 EAST PRESTON ST","yes","2008 EAST PRESTON ST, baltimore"
"1181","1391254","11/19/2024","WATER MAIN BREAK","7707 WESTFIELD RD","yes","7707 WESTFIELD RD, baltimore"
"1182","1391419","11/19/2024","WATER MAIN BREAK","8200 PHILADELPHIA RD","yes","8200 PHILADELPHIA RD, baltimore"
"1183","1391567","11/19/2024","WATER JOINT LEAK","2725 GWYNNS FALLS PKWY","yes","2725 GWYNNS FALLS PKWY, baltimore"
"1184","1391595","11/19/2024","WATER MAIN BREAK","6428 CLIFTON FORGE CIR","yes","6428 CLIFTON FORGE CIR, baltimore"
"1185","1391622","11/19/2024","WATER MAIN BREAK","6405 GOLDEN RING RD","yes","6405 GOLDEN RING RD, baltimore"
"1186","1391647","11/19/2024","WATER MAIN BREAK","6613 GOLDEN RING RD","yes","6613 GOLDEN RING RD, baltimore"
"1187","1391656","11/20/2024","WATER JOINT LEAK","2208 HARFORD RD","yes","2208 HARFORD RD, baltimore"
"1188","1391662","11/20/2024","WATER MAIN BREAK","6318 IVYMOUNT RD","yes","6318 IVYMOUNT RD, baltimore"
"1189","1391677","11/20/2024","WATER MAIN BREAK","8409 ROCKY MOUNT RD","yes","8409 ROCKY MOUNT RD, baltimore"
"1190","1392252","11/20/2024","WATER MAIN BREAK","6405 GOLDEN RING RD","yes","6405 GOLDEN RING RD, baltimore"
"1191","1392314","11/20/2024","WATER MAIN BREAK","8004 STANSBURY RD","yes","8004 STANSBURY RD, baltimore"
"1192","1392737","11/20/2024","WATER MAIN BREAK","6705 GOLDEN RING RD","yes","6705 GOLDEN RING RD, baltimore"
"1193","1393071","11/20/2024","WATER MAIN BREAK","1313 CHAPEL HILL DR","yes","1313 CHAPEL HILL DR, baltimore"
"1194","1393072","11/20/2024","WATER MAIN BREAK","355 ENDSLEIGH AVE","yes","355 ENDSLEIGH AVE, baltimore"
"1195","1393090","11/21/2024","WATER JOINT LEAK","2008 EAST PRESTON ST","yes","2008 EAST PRESTON ST, baltimore"
"1196","1393240","11/21/2024","WATER MAIN BREAK","6407 GOLDEN RING RD","yes","6407 GOLDEN RING RD, baltimore"
"1197","1393349","11/21/2024","WATER MAIN BREAK","8413 ALLISON LN","yes","8413 ALLISON LN, baltimore"
"1198","1393352","11/22/2024","WATER MAIN BREAK","3203 GREEN KNOLL RD","yes","3203 GREEN KNOLL RD, baltimore"
"1199","1393354","11/22/2024","WATER JOINT LEAK","2417 MOSHER ST","yes","2417 MOSHER ST, baltimore"
"1200","1393356","11/22/2024","WATER JOINT LEAK","2431 MOSHER ST","yes","2431 MOSHER ST, baltimore"
"1201","1393361","11/22/2024","WATER MAIN BREAK","1500 BOLTON ST","yes","1500 BOLTON ST, baltimore"
"1202","1393386","11/22/2024","WATER MAIN BREAK","5689 UTRECHT RD","yes","5689 UTRECHT RD, baltimore"
"1203","1393406","11/22/2024","WATER MAIN BREAK","6401 GOLDEN RING RD","yes","6401 GOLDEN RING RD, baltimore"
"1204","1393541","11/22/2024","WATER MAIN BREAK","2020 HARFORD RD","yes","2020 HARFORD RD, baltimore"
"1205","1393576","11/23/2024","WATER MAIN BREAK","6507 GOLDEN RING RD","yes","6507 GOLDEN RING RD, baltimore"
"1206","1394133","11/23/2024","WATER MAIN BREAK","6109 TRAMORE RD","yes","6109 TRAMORE RD, baltimore"
"1207","1394138","11/23/2024","WATER MAIN BREAK","2014 JOLLY RD","yes","2014 JOLLY RD, baltimore"
"1208","1394142","11/23/2024","WATER MAIN BREAK","8241 BULLNECK RD","yes","8241 BULLNECK RD, baltimore"
"1209","1394143","11/23/2024","WATER MAIN BREAK","5 CEDARHILL RD","yes","5 CEDARHILL RD, baltimore"
"1210","1394158","11/24/2024","WATER MAIN BREAK","2215 SPRING LAKE DR","yes","2215 SPRING LAKE DR, baltimore"
"1211","1394227","11/25/2024","WATER JOINT LEAK","2026 NORTHEAST AVE","yes","2026 NORTHEAST AVE, baltimore"
"1212","1394272","11/25/2024","WATER JOINT LEAK","3701 GARDENVIEW RD","yes","3701 GARDENVIEW RD, baltimore"
"1213","1394318","11/25/2024","WATER MAIN BREAK","4315 SLATER AVE","yes","4315 SLATER AVE, baltimore"
"1214","1394357","11/25/2024","WATER JOINT LEAK","2215 SPRING LAKE DR","yes","2215 SPRING LAKE DR, baltimore"
"1215","1394453","11/25/2024","WATER MAIN BREAK","4606 GOUGH BALTIMORE CITY","yes","4606 GOUGH BALTIMORE CITY, baltimore"
"1216","1394454","11/25/2024","WATER MAIN BREAK","2 WINSTEAD CT","yes","2 WINSTEAD CT, baltimore"
"1217","1394469","11/26/2024","WATER JOINT LEAK","2016 EAST LOMBARD ST","yes","2016 EAST LOMBARD ST, baltimore"
"1218","1394526","11/26/2024","WATER MAIN BREAK","1918 GRINNALDS AVE","yes","1918 GRINNALDS AVE, baltimore"
"1219","1394580","11/26/2024","WATER MAIN BREAK","405 FREDERICK RD","yes","405 FREDERICK RD, baltimore"
"1220","1394603","11/26/2024","WATER JOINT LEAK","808 SOUTH POTOMAC ST","yes","808 SOUTH POTOMAC ST, baltimore"
"1221","1394604","11/26/2024","WATER JOINT LEAK","1801 FREDERICK RD","yes","1801 FREDERICK RD, baltimore"
"1222","1394625","11/26/2024","WATER MAIN BREAK","1007 LESLIE AVE","yes","1007 LESLIE AVE, baltimore"
"1223","1394626","11/26/2024","WATER MAIN BREAK","2215 SPRING LAKE DR","yes","2215 SPRING LAKE DR, baltimore"
"1224","1394670","11/26/2024","WATER MAIN BREAK","9728 PULASKI HWY","yes","9728 PULASKI HWY, baltimore"
"1225","1394678","11/26/2024","WATER MAIN BREAK","2100 HUNTINGDON AVE","yes","2100 HUNTINGDON AVE, baltimore"
"1226","1394685","11/26/2024","WATER MAIN BREAK","4402 COLBORNE RD","yes","4402 COLBORNE RD, baltimore"
"1227","1394730","11/27/2024","WATER MAIN BREAK","638 CHARRAWAY RD","yes","638 CHARRAWAY RD, baltimore"
"1228","1394766","11/27/2024","WATER MAIN BREAK","7610 WILHELM AVE","yes","7610 WILHELM AVE, baltimore"
"1229","1394773","11/27/2024","WATER MAIN BREAK","7812 WISE AVE","yes","7812 WISE AVE, baltimore"
"1230","1394790","11/27/2024","WATER MAIN BREAK","8200 HARFORD RD","yes","8200 HARFORD RD, baltimore"
"1231","1394834","11/27/2024","WATER JOINT LEAK","5400 READY AVE","yes","5400 READY AVE, baltimore"
"1232","1394835","11/27/2024","WATER MAIN BREAK","7821 WISE AVE","yes","7821 WISE AVE, baltimore"
"1233","1394939","11/29/2024","WATER MAIN BREAK","2700 NORTHSHIRE DR","yes","2700 NORTHSHIRE DR, baltimore"
"1234","1394945","11/29/2024","WATER MAIN BREAK","7903 HILLTOP AVE","yes","7903 HILLTOP AVE, baltimore"
"1235","1394979","11/29/2024","WATER MAIN BREAK","8004 STRATMAN RD","yes","8004 STRATMAN RD, baltimore"
"1236","1394986","11/29/2024","WATER MAIN BREAK","5746 MINERAL AVE","yes","5746 MINERAL AVE, baltimore"
"1237","1395031","11/29/2024","WATER MAIN BREAK","7615 WILHELM AVE","yes","7615 WILHELM AVE, baltimore"
"1238","1395050","11/30/2024","WATER MAIN BREAK","1700 RAMSAY ST","yes","1700 RAMSAY ST, baltimore"
"1239","1395051","11/30/2024","WATER MAIN BREAK","4600 HOMER AVE","yes","4600 HOMER AVE, baltimore"
"1240","1395052","11/30/2024","WATER MAIN BREAK","1538 WILLIAM ST","yes","1538 WILLIAM ST, baltimore"
"1241","1395079","11/30/2024","WATER MAIN BREAK","7 HEDGEFORD CT","yes","7 HEDGEFORD CT, baltimore"
"1242","1395082","11/30/2024","WATER MAIN BREAK","202 BRACKENWOOD CT","yes","202 BRACKENWOOD CT, baltimore"
"1243","1395092","12/1/2024","WATER MAIN BREAK","812 BRANFORD CIR","yes","812 BRANFORD CIR, baltimore"
"1244","1395096","12/1/2024","WATER MAIN BREAK","699 STEMMERS RUN RD","yes","699 STEMMERS RUN RD, baltimore"
"1245","1395099","12/1/2024","WATER MAIN BREAK","1216 BROOK HOLLOW RD","yes","1216 BROOK HOLLOW RD, baltimore"
"1246","1395102","12/1/2024","WATER MAIN BREAK","5406 MASEFIELD RD","yes","5406 MASEFIELD RD, baltimore"
